FT-001 | ¿Qué cubre la modalidad de terceros básico? | EXP: Cubre la responsabilidad civil obligatoria y voluntaria frente a terceros, la defensa jurídica y los accidentes del conductor; no cubre daños propios del vehículo (ni granizo, ni robo, ni incendio, ni lunas, ni colisión propia). | GR: GROUNDED | DOC: terceros-basico | CAT: cobertura | DIF: baja
FT-024 | ¿Cubre el seguro las averías mecánicas o eléctricas del vehículo? | EXP: No. La avería mecánica o eléctrica no derivada de un siniestro cubierto está excluida, igual que los defectos de mantenimiento. | GR: GROUNDED | DOC: tabla-exclusiones | CAT: exclusion | DIF: baja
FT-025 | ¿Está cubierto el siniestro si el vehículo se destinaba a un uso distinto del declarado? | EXP: No. El uso distinto del declarado, como el transporte de viajeros o el alquiler no comunicados, es una exclusión expresa. | GR: GROUNDED | DOC: tabla-exclusiones;segundo-conductor-y-uso-profesional | CAT: exclusion | DIF: media
FT-026 | ¿Cuál es el límite de indemnización por daños de granizo en la versión vigente? | EXP: 5.000 € por siniestro y anualidad de seguro, según las Condiciones Generales v2.0 vigentes desde el 1 de enero de 2026. | GR: GROUNDED | DOC: condiciones-generales-auto-v2;fenomenos-meteorologicos | CAT: limites | DIF: baja
FT-027 | ¿Hasta qué importe se cubre el cable de carga de un vehículo eléctrico? | EXP: Hasta 600 €. | GR: GROUNDED | DOC: vehiculos-electricos | CAT: limites | DIF: baja
FT-028 | ¿Cuál es el límite de la repatriación internacional del vehículo? | EXP: Hasta 1.500 €. | GR: GROUNDED | DOC: asistencia-en-carretera | CAT: limites | DIF: baja
FT-029 | ¿Cuántos días de vehículo de sustitución corresponden en todo riesgo? | EXP: 10 días. | GR: GROUNDED | DOC: asistencia-en-carretera;todo-riesgo-sin-franquicia | CAT: limites | DIF: baja
FT-030 | ¿Cuántos días de vehículo de sustitución corresponden en terceros ampliado? | EXP: 5 días. | GR: GROUNDED | DOC: asistencia-en-carretera;terceros-ampliado | CAT: limites | DIF: baja
FT-031 | ¿A partir de qué porcentaje del valor venal se declara la pérdida total? | EXP: Cuando el coste de reparación supera el 75 % del valor venal del vehículo inmediatamente antes del siniestro. | GR: GROUNDED | DOC: guia-indemnizaciones;condiciones-generales-auto-v2 | CAT: limites | DIF: media
FT-032 | ¿Cuál era el límite de granizo en la versión anterior de las condiciones generales? | EXP: 3.000 €, conforme a las Condiciones Generales v1.0 aplicables a siniestros ocurridos durante 2025. | GR: GROUNDED | DOC: condiciones-generales-auto-v1 | CAT: limites | DIF: media
FT-033 | ¿Desde qué kilómetro se presta la asistencia en carretera en terceros básico? | EXP: A partir de 25 km del domicilio habitual del asegurado. | GR: GROUNDED | DOC: asistencia-en-carretera;terceros-basico | CAT: limites | DIF: baja
FT-034 | ¿Cuáles son los importes de franquicia disponibles en todo riesgo? | EXP: 150 €, 300 € y 600 €. | GR: GROUNDED | DOC: todo-riesgo-con-franquicia | CAT: limites | DIF: baja
FT-035 | ¿Cuál es el plazo máximo para resolver una reclamación presentada por el asegurado? | EXP: 30 días naturales desde su presentación. | GR: GROUNDED | DOC: procedimiento-reclamaciones | CAT: limites | DIF: baja
